"Part";"Value";"Package";"Mfg. Part No.";"Datasheet";
;;;;
;;;;
;;;;
"B1";"button";"KMR2";"KMR231NG LFS";"https://www.ckswitches.com/media/1479/kmr2.pdf";
"C1";"0.1u";"C0805";"";"";
"C2";"10u";"C0805";"";"";
"C3";"0.1u";"C0805";"";"";
"C4";"10u";"C0805";"";"";
"C5";"0.1u";"C0805";"";"";
"C6";"10u";"C0805";" ";"";
"C7";"0.1u";"C0805";"";"";
"C8";"10u";"C0805";"";"";
"C9";"0.1u";"C0805";"";"";
"C11";"0.1u";"C0805";"";"";
"C12";"1u"; "C0805";"";"";
"C13";"0.1u";"C0805";" ";"";
"C14";"0.1u";"C0805";" ";"";
"C15";"0.1u";"C0805";" ";"";
"C17";"0.1u";"C0805";" ";"";
"C18";"0.1u";"C0805";" ";"";
"C19";"0.1u";"C0805";" ";"";
"C20";"0.1u";"C0805";" ";"";
"D1";"";"SOD-323F";"ZLLS410TA";"https://www.diodes.com/assets/Datasheets/ZLLS410.pdf";
"IC1";"RN4871";"RN4871";"RN4871-V/RM118";"http://ww1.microchip.com/downloads/en/DeviceDoc/50002489C.pdf";
"IC2";"ATSAMD21G-A";"TQFP-48";"ATSAMD21G18A-AUT";"http://ww1.microchip.com/downloads/en/DeviceDoc/40001882A.pdf";
"IC3";"AP2112K-3.3V";"SOT23-5";"AP2112K-3.3TRG1";"https://www.diodes.com/assets/Datasheets/AP2112.pdf";
"IC4";"MCP73831";"SOT23-5";"MCP73831T-2ACI/OT";"http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf";
"IC5";"MPU-9250";"";"MPU-9250";"https://store.invensense.com/datasheets/invensense/MPU9250REV1.0.pdf";
"J1";"";"1X08_SMD_MALE";"91601-308LF";"https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/91601.pdf";
"J2";"";"1X08_SMD_MALE";"91601-308LF";"https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/91601.pdf";
"L1";"ferrite_bead";"L0805";"MH2029-601Y";"http://www.bourns.com/docs/Product-Datasheets/mh.pdf";
"LED1";"AMBER";"CHIP-LED0805";"";"";
"LED2";"GREEN";"CHIP-LED0805";"";"";
"LED3";"BLUE";"CHIP-LED0805";"";"";
"R1";"10k";"R0805";"";"";
"R2";"tbd";"R0805";"";"";
"R3";"tbd";"R0805";"";"";
"R4";"100k";"R0805";"";"";
"R5";"100k";"R0805";"";"";
"R6";"tbd";"R0805";"";"";
"R7";"tbd";"R0805";"";"";
"R8";"100k";"R0805";"";"";
"R12";"100k";"R0805";"";"";
"R13";"10k";"R0805";"";"";
"R14";"10k";"R0805";"";"";
"X1";"USB";"USB - micro B";"10118194-0001LF";"https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pdf";
"X2";"BATTERY";"JST_2PIN-SMT-RA";"S2B-PH-SM4-TB(LF)(SN)";"http://www.jst-mfg.com/product/pdf/eng/ePH.pdf";
"X3";"DEBUG";"2X5-PTH-1.27MM";"20021111-00010T4LF";"https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/20021111.pdf";
"X4";"HRM";"1X5-PTH-2.54MM";"";"";